Category,0,1,2,3,4,5,6,7,8,9,10,11,12
aerospace,2,15,0,32,0,0,1,1,2,0,0,71,15
at-work,0,2,1,10,2,0,1,6,0,80,0,44,1
biomedical,28,3,86,36,0,7,1,3,1,1,1,70,65
computing,37,8,0,59,5,13,0,51,4,4,1,89,10
consumer-electronics,3,5,1,13,0,1,0,0,2,0,4,110,18
energy,1,97,0,6,4,0,0,0,18,0,12,23,8
geek-life,1,2,1,11,0,2,1,4,3,2,0,43,0
green-tech,0,37,0,2,2,0,0,0,14,1,9,5,12
robotics,49,3,0,3,8,1,307,1,7,1,1,143,5
semiconductors,4,8,3,13,0,55,0,5,2,0,3,27,121
tech-history,3,5,0,6,1,20,3,13,1,0,0,35,8
telecom,2,7,2,153,2,5,1,1,1,2,1,25,8
transportation,3,16,0,5,156,1,0,0,0,0,11,33,1
