Category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
aerospace,8,0,3,3,1,5,7,6,4,0,3,0,14,23,1,9,0,0,7,0,2,1,1,0,0,41
at-work,5,0,0,0,1,1,0,1,1,1,2,1,4,2,0,0,65,0,23,0,3,7,14,0,0,16
biomedical,19,1,0,9,1,30,0,5,2,74,0,0,14,7,15,2,1,3,86,1,10,1,10,0,4,7
computing,27,3,2,2,0,3,10,65,4,0,0,4,18,5,25,1,3,16,24,1,1,43,8,4,2,10
consumer-electronics,5,14,4,2,0,1,1,1,1,0,0,0,7,6,2,0,0,0,13,4,0,0,52,1,20,23
energy,2,0,1,4,0,5,2,6,84,0,4,0,10,2,1,0,0,0,9,12,3,0,1,15,0,8
geek-life,1,2,2,0,1,1,1,2,0,0,0,0,3,10,0,0,1,2,9,0,0,4,4,2,1,24
green-tech,0,1,1,2,0,2,1,2,26,0,2,0,5,0,0,1,1,0,1,8,17,0,0,10,0,2
robotics,3,9,79,2,281,0,0,2,0,0,0,4,6,0,33,7,1,1,8,1,0,2,6,1,1,82
semiconductors,6,5,0,41,0,67,1,2,2,0,0,0,14,7,2,0,0,51,6,4,2,8,7,1,10,5
tech-history,0,2,0,0,3,2,5,1,2,0,1,1,0,6,1,0,0,20,2,0,0,11,13,1,2,22
telecom,13,3,0,5,1,2,68,30,2,1,0,2,4,36,1,3,0,2,15,0,6,0,11,1,0,4
transportation,0,1,8,0,0,0,1,1,3,0,39,116,8,2,3,4,2,0,9,8,1,0,2,0,0,18
